======================================================================
Experiment 3 (DT near-field): FULL TRAINING FROM SCRATCH
======================================================================
Run Phase 1: Adam
Adam Iter     0: Loss = 2.80892491 (Interior = 0.02808925, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 2.80207300 (Interior = 0.02802073, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   100: Loss = 1.25682890 (Interior = 0.01256829, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 1.25121677 (Interior = 0.01251217, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   200: Loss = 0.55302113 (Interior = 0.00553021, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.55119389 (Interior = 0.00551194, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   300: Loss = 0.16870810 (Interior = 0.00168708, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.16427799 (Interior = 0.00164278, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   400: Loss = 0.06753138 (Interior = 0.00067531, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.06772903 (Interior = 0.00067729, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   500: Loss = 0.03180327 (Interior = 0.00031803, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.04182214 (Interior = 0.00041822, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   600: Loss = 0.03028323 (Interior = 0.00030283, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.02795916 (Interior = 0.00027959, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   700: Loss = 0.01842621 (Interior = 0.00018426, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.03366448 (Interior = 0.00033664, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   800: Loss = 0.01404526 (Interior = 0.00014045, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.01663438 (Interior = 0.00016634, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   900: Loss = 0.00862556 (Interior = 0.00008626, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.01386244 (Interior = 0.00013862, BC_x = 0.00000000, BC_y = 0.00000000)
Run Phase 2: Adam
Adam Iter     0: Loss = 0.27807409 (Interior = 0.00278074, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.02046944 (Interior = 0.00020469, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   100: Loss = 0.11142709 (Interior = 0.00111427, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.08085494 (Interior = 0.00080855, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   200: Loss = 0.08259009 (Interior = 0.00082590, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.07016008 (Interior = 0.00070160, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   300: Loss = 0.05848999 (Interior = 0.00058490, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.05752017 (Interior = 0.00057520, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   400: Loss = 0.04923779 (Interior = 0.00049238, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.04626222 (Interior = 0.00046262, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   500: Loss = 0.04378018 (Interior = 0.00043780, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.03893713 (Interior = 0.00038937, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   600: Loss = 0.03955385 (Interior = 0.00039554, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.03373397 (Interior = 0.00033734, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   700: Loss = 0.03599447 (Interior = 0.00035994, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.03032644 (Interior = 0.00030326, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   800: Loss = 0.03294073 (Interior = 0.00032941, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.02752197 (Interior = 0.00027522, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter   900: Loss = 0.03024521 (Interior = 0.00030245, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.02501021 (Interior = 0.00025010, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter  1000: Loss = 0.02771887 (Interior = 0.00027719, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.02189772 (Interior = 0.00021898, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter  1100: Loss = 0.02521849 (Interior = 0.00025218, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.01871072 (Interior = 0.00018711, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter  1200: Loss = 0.02276335 (Interior = 0.00022763, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.01670273 (Interior = 0.00016703, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter  1300: Loss = 0.02024570 (Interior = 0.00020246, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.01538938 (Interior = 0.00015389, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter  1400: Loss = 0.01771179 (Interior = 0.00017712, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.01509141 (Interior = 0.00015091, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter  1500: Loss = 0.01548487 (Interior = 0.00015485, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.01526631 (Interior = 0.00015266, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter  1600: Loss = 0.01365039 (Interior = 0.00013650, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.01516796 (Interior = 0.00015168, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter  1700: Loss = 0.01240333 (Interior = 0.00012403, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.01458748 (Interior = 0.00014587, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter  1800: Loss = 0.01137249 (Interior = 0.00011372, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.01352700 (Interior = 0.00013527, BC_x = 0.00000000, BC_y = 0.00000000)
Adam Iter  1900: Loss = 0.01059734 (Interior = 0.00010597, BC_x = 0.00000000, BC_y = 0.00000000)
           Test Loss = 0.01266330 (Interior = 0.00012663, BC_x = 0.00000000, BC_y = 0.00000000)
Run Phase 3: L-BFGS
LBFGS Iter   100: Loss = 0.00854788 Test Loss = 0.01020552 (Interior = 0.00010206, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   200: Loss = 0.00701352 Test Loss = 0.00780172 (Interior = 0.00007802, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   300: Loss = 0.00625791 Test Loss = 0.00629440 (Interior = 0.00006294, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   400: Loss = 0.00558324 Test Loss = 0.00558316 (Interior = 0.00005583, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   500: Loss = 0.00510060 Test Loss = 0.00591447 (Interior = 0.00005914, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   600: Loss = 0.00468343 Test Loss = 0.00530216 (Interior = 0.00005302, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   700: Loss = 0.00426689 Test Loss = 0.00526181 (Interior = 0.00005262, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   800: Loss = 0.00395740 Test Loss = 0.00540983 (Interior = 0.00005410, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter   900: Loss = 0.00366637 Test Loss = 0.00489250 (Interior = 0.00004892, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  1000: Loss = 0.00339346 Test Loss = 0.00448355 (Interior = 0.00004484, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  1100: Loss = 0.00315081 Test Loss = 0.00435889 (Interior = 0.00004359, BC_x = 0.00000000, BC_y = 0.00000000)
LBFGS Iter  1200: Loss = 0.00289757 Test Loss = 0.00404107 (Interior = 0.00004041, BC_x = 0.00000000, BC_y = 0.00000000)
